finished building vertex covers
graph: df30f5da-ca1f-432c-8571-4f2012a6f9d6, greedy: 281, nn: 296
graph: 45fae1c4-be48-4b2b-804a-7725597ea2a3, greedy: 282, nn: 294
graph: 17075965-0fe8-42aa-99cf-de5015ea798c, greedy: 291, nn: 294
graph: 7b648ea6-5f04-4918-b1c6-3c4daacefbae, greedy: 289, nn: 295
graph: c1e68710-d3c4-4474-ab1a-41dc2fd329d4, greedy: 288, nn: 298
graph: 2d1720e6-7a63-4002-868b-b0939084b0a3, greedy: 293, nn: 295
graph: d670e915-85c8-485f-b4cc-93b156d3e366, greedy: 286, nn: 293
graph: c58580c0-2153-4d3b-b763-f64e2dd38e9d, greedy: 286, nn: 296
graph: b53426cd-7237-47e6-9c44-fb46685ecf08, greedy: 285, nn: 292
graph: f5d8be20-ebc3-4f3d-a460-15f47ea07695, greedy: 282, nn: 293
graph: 19843b8a-99de-4057-a695-cd2971a879d3, greedy: 287, nn: 296
graph: fbdf7426-2f41-4fc0-b0a1-315a4ef8cffe, greedy: 287, nn: 296
graph: 743d21cc-cac2-4c5a-92a6-69513d647081, greedy: 285, nn: 294
graph: c051ee98-8fc0-4fcb-8503-03984ddc7ec3, greedy: 288, nn: 297
graph: cb9f7e08-5c5d-4256-ab3b-16486ec0d331, greedy: 291, nn: 294
graph: f3f71074-be4e-4de2-850a-a9970a12e8ce, greedy: 277, nn: 298
graph: 6e1a3f1f-f36d-46a6-b319-d4837c70507d, greedy: 291, nn: 292
graph: ca7a6f36-7f6b-4039-8237-c24ce1501776, greedy: 291, nn: 298
graph: 8293b3c9-f73c-4d7d-b62f-b150f1de3acf, greedy: 287, nn: 299
graph: 4fec392c-59e8-4f4f-b17d-4356c6f85101, greedy: 293, nn: 296
graph: 0fc87f23-f797-415a-8eaa-c7225cafd644, greedy: 294, nn: 297
graph: e60b7046-d088-4da0-b465-2669320857a4, greedy: 293, nn: 296
graph: da14dd86-3983-4eb9-a624-4f642c2937d2, greedy: 297, nn: 296
graph: 2bcb5102-06a4-4ded-b3d0-0be5c7b958ad, greedy: 295, nn: 298
graph: bb850489-7a93-4a66-b858-0a47bcc16fd2, greedy: 289, nn: 298
graph: 17b368d0-ae03-4895-be2c-6336d4d42e00, greedy: 296, nn: 290
graph: e3fdacf0-c5e6-4005-be64-dffbf26c9990, greedy: 293, nn: 292
graph: 0102a771-9c85-468b-bdfb-0405d44f6c9c, greedy: 290, nn: 295
graph: cf49fc2c-11be-40b7-a45c-0d506808e554, greedy: 276, nn: 295
graph: d7c9bb1c-6d1b-4791-a278-93d94e6ce9a6, greedy: 271, nn: 299
graph: a5bb06c2-9e81-4af6-ba63-60d425a386c5, greedy: 268, nn: 296
graph: 12a6c24a-5ef8-43c7-91da-60e00115e9f7, greedy: 271, nn: 297
graph: e8561669-340c-48a0-b88e-37c84cbf0312, greedy: 269, nn: 295
graph: 21911e43-bb2d-4a7b-941e-02f427b7767c, greedy: 293, nn: 296
graph: ca4fa705-cffe-417e-9da3-34f28b8bec3a, greedy: 262, nn: 299
graph: 25e0e8a8-489a-44d0-a306-728e85f8ba20, greedy: 258, nn: 299
graph: ff65c1e2-6db8-41af-a40f-4533b786c786, greedy: 292, nn: 298
graph: 4dcee590-fef0-4fb0-8353-3371748087dc, greedy: 281, nn: 296
graph: 6f5f2fc8-eb40-4dff-abd9-5971fa8e78ea, greedy: 285, nn: 287
graph: f0dfd117-4ced-41f6-908c-f666e331a0d6, greedy: 293, nn: 294
graph: cfeca6af-6781-437e-bb2d-3e9659b4fe7a, greedy: 295, nn: 298
graph: 65e24ef3-8578-47bc-8656-beeef57b076f, greedy: 291, nn: 294
graph: 4c9785d1-620c-4f8c-8e67-20449fe60764, greedy: 292, nn: 297
graph: fba37251-5579-4c58-bfaf-46a927da14a6, greedy: 287, nn: 297
graph: 200754a5-39d4-4e19-bc38-376f796ae9d7, greedy: 271, nn: 299
graph: 59855bf3-2597-4b06-9cd6-d7052644fa4c, greedy: 261, nn: 293
graph: a459a43d-0b1c-438d-9fce-bed15bed6bfb, greedy: 299, nn: 298
graph: d21b2c51-0553-4209-8026-5ee7455a6f51, greedy: 297, nn: 296
